uid,lat,lng
aberdalgie,56.364708,-3.489276
abernethy,56.332647,-3.312797
alyth,56.623167,-3.230348
arngask,56.283623,-3.387389
auchterarder,56.29531,-3.708727
auchtergaven,56.504,-3.567073
bendochy,56.546778,-3.269467
blackford,56.260908,-3.780447
blair-atholl,56.7679,-3.842784
blairgowrie,56.591518,-3.339348
callander,56.244713,-4.210871
caputh,56.543502,-3.485822
cargill,56.515913,-3.378132
clunie,56.574797,-3.450908
collace,56.47696,-3.2929
comrie,56.372292,-3.984278
crieff,56.374403,-3.83926
dowally,56.611312,-3.618339
dunbarney,56.350387,-3.409078
dunblane,56.190274,-3.962216
dunkeld,56.56856,-3.588001
dunning,56.311858,-3.585674
errol,56.393473,-3.212035
forgandenny,56.345506,-3.47982
forteviot,56.340288,-3.536202
fortingall,56.600707,-4.052476
fowlis-wester,56.397123,-3.738065
inchture,56.445412,-3.166258
kenmore,56.585722,-3.990893
killin,56.468023,-4.317149
kilmadock,56.217451,-4.052521
kilspindie,56.418636,-3.262471
kincardine,56.070798,-3.71658
kinfauns,56.389303,-3.350692
kinnaird,56.446099,-3.22615
kinnoull,56.401749,-3.417983
lecropt,56.156216,-3.978321
lethendy-and-kinloch,56.560193,-3.416863
little-dunkeld,56.560365,-3.583574
logie,56.150066,-3.907373
logierait,56.647457,-3.681823
longforgan,56.456513,-3.120413
meigle,56.587024,-3.162204
methven,56.416501,-3.580846
moneydie,56.447702,-3.515224
monzie,56.405746,-3.819383
monzievaird-and-strowan,56.404591,-3.820843
muckhart,56.188352,-3.612188
muthill,56.331258,-3.832071
perth,56.400539,-3.447696
port-of-menteith,56.186187,-4.280397
rattray,56.59238,-3.333901
redgorton,56.442707,-3.480373
rhynd,56.365036,-3.365818
scone,56.421268,-3.401941
st-madoes,56.374157,-3.303954
st-martins,56.456366,-3.376592
tibbermore,56.395423,-3.5397
trinity-gask,56.34252,-3.680277
